YEAR,MONTH,DAY,GRID_NO,TEMPERATURE_AVG
2009,1,1,,5.3
2009,1,2,,3.9499999999999997
2009,1,3,,4.25
2009,1,4,,3.45
2009,1,5,,3.9499999999999997
2009,1,6,,4.0
2009,1,7,,4.1499999999999995
2009,1,8,,4.0
2009,1,9,,4.0
2009,1,10,,2.6999999999999997
2009,1,11,,3.3499999999999996
2009,1,12,,3.35
2009,1,13,,2.9
2009,1,14,,2.5
2009,1,15,,1.9499999999999997
2009,1,16,,1.7
2009,1,17,,0.8500000000000001
2009,1,18,,1.4
2009,1,19,,2.75
2009,1,20,,0.9500000000000001
2009,1,21,,2.3000000000000003
2009,1,22,,3.35
2009,1,23,,1.95
2009,1,24,,0.6000000000000001
2009,1,25,,0.2999999999999998
2009,1,26,,1.4500000000000002
2009,1,27,,2.5
2009,1,28,,2.75
2009,1,29,,2.9
2009,1,30,,2.1999999999999997
2009,1,31,,1.45
2009,2,1,,0.5
2009,2,2,,1.45
2009,2,3,,2.6
2009,2,4,,2.8499999999999996
2009,2,5,,3.55
2009,2,6,,2.9
2009,2,7,,1.3499999999999999
2009,2,8,,0.9000000000000001
2009,2,9,,-1.6500000000000001
2009,2,10,,0.25
2009,2,11,,0.5
2009,2,12,,-0.6500000000000001
2009,2,13,,0.3999999999999999
2009,2,14,,2.15
2009,2,15,,2.9
2009,2,16,,3.95
2009,2,17,,3.6
2009,2,18,,3.7
2009,2,19,,2.4
2009,2,20,,2.4000000000000004
2009,2,21,,2.3
2009,2,22,,2.5
2009,2,23,,3.0
2009,2,24,,6.15
2009,2,25,,6.65
2009,2,26,,5.300000000000001
2009,2,27,,4.75
2009,2,28,,5.25
2009,3,1,,4.85
2009,3,2,,4.55
2009,3,3,,4.8500000000000005
2009,3,4,,4.3
2009,3,5,,3.7
2009,3,6,,5.1
2009,3,7,,4.05
2009,3,8,,5.0
2009,3,9,,5.3500000000000005
2009,3,10,,5.35
2009,3,11,,4.35
2009,3,12,,3.85
2009,3,13,,4.7
2009,3,14,,6.1
2009,3,15,,7.0
2009,3,16,,8.0
2009,3,17,,6.8
2009,3,18,,7.4
2009,3,19,,7.6
2009,3,20,,6.8
2009,3,21,,7.1
2009,3,22,,7.8999999999999995
2009,3,23,,8.65
2009,3,24,,8.2
2009,3,25,,8.6
2009,3,26,,7.9
2009,3,27,,8.15
2009,3,28,,7.45
2009,3,29,,7.55
2009,3,30,,6.699999999999999
2009,3,31,,5.8
2009,4,1,,7.0
2009,4,2,,8.200000000000001
2009,4,3,,7.550000000000001
2009,4,4,,7.35
2009,4,5,,6.45
2009,4,6,,8.75
2009,4,7,,8.8
2009,4,8,,8.05
2009,4,9,,8.85
2009,4,10,,9.4
2009,4,11,,9.65
2009,4,12,,8.25
2009,4,13,,8.75
2009,4,14,,10.2
2009,4,15,,10.2
2009,4,16,,8.2
2009,4,17,,9.1
2009,4,18,,10.05
2009,4,19,,10.5
2009,4,20,,10.149999999999999
2009,4,21,,9.15
2009,4,22,,10.350000000000001
2009,4,23,,11.55
2009,4,24,,12.6
2009,4,25,,12.7
2009,4,26,,10.850000000000001
2009,4,27,,9.8
2009,4,28,,10.55
2009,4,29,,13.7
2009,4,30,,12.6
2009,5,1,,12.799999999999999
2009,5,2,,10.15
2009,5,3,,9.5
2009,5,4,,9.35
2009,5,5,,9.850000000000001
2009,5,6,,11.5
2009,5,7,,12.85
2009,5,8,,12.85
2009,5,9,,13.350000000000001
2009,5,10,,13.9
2009,5,11,,11.3
2009,5,12,,9.6
2009,5,13,,9.95
2009,5,14,,9.75
2009,5,15,,10.1
2009,5,16,,10.5
2009,5,17,,10.75
2009,5,18,,12.15
2009,5,19,,12.899999999999999
2009,5,20,,11.850000000000001
2009,5,21,,11.95
2009,5,22,,12.75
2009,5,23,,13.25
2009,5,24,,14.05
2009,5,25,,14.25
2009,5,26,,13.75
2009,5,27,,14.35
2009,5,28,,14.05
2009,5,29,,14.2
2009,5,30,,14.85
2009,5,31,,13.15
2009,6,1,,13.05
2009,6,2,,13.85
2009,6,3,,14.850000000000001
2009,6,4,,15.5
2009,6,5,,16.049999999999997
2009,6,6,,16.049999999999997
2009,6,7,,16.299999999999997
2009,6,8,,15.200000000000001
2009,6,9,,14.3
2009,6,10,,13.8
2009,6,11,,13.85
2009,6,12,,14.65
2009,6,13,,14.0
2009,6,14,,14.899999999999999
2009,6,15,,15.7
2009,6,16,,14.950000000000001
2009,6,17,,16.200000000000003
2009,6,18,,15.95
2009,6,19,,14.85
2009,6,20,,15.0
2009,6,21,,16.1
2009,6,22,,15.0
2009,6,23,,16.0
2009,6,24,,15.15
2009,6,25,,15.45
2009,6,26,,17.549999999999997
2009,6,27,,20.15
2009,6,28,,20.799999999999997
2009,6,29,,16.5
2009,6,30,,17.4
2009,7,1,,16.6
2009,7,2,,17.25
2009,7,3,,16.5
2009,7,4,,17.6
2009,7,5,,18.45
2009,7,6,,17.45
2009,7,7,,18.200000000000003
2009,7,8,,18.75
2009,7,9,,18.95
2009,7,10,,17.8
2009,7,11,,17.65
2009,7,12,,17.25
2009,7,13,,17.0
2009,7,14,,16.5
2009,7,15,,17.05
2009,7,16,,16.55
2009,7,17,,17.0
2009,7,18,,17.049999999999997
2009,7,19,,18.15
2009,7,20,,17.75
2009,7,21,,17.95
2009,7,22,,17.4
2009,7,23,,18.1
2009,7,24,,18.45
2009,7,25,,18.4
2009,7,26,,18.65
2009,7,27,,18.9
2009,7,28,,18.05
2009,7,29,,17.25
2009,7,30,,16.0
2009,7,31,,17.4
2009,8,1,,19.25
2009,8,2,,19.700000000000003
2009,8,3,,18.2
2009,8,4,,18.3
2009,8,5,,18.2
2009,8,6,,17.7
2009,8,7,,16.45
2009,8,8,,15.600000000000001
2009,8,9,,16.75
2009,8,10,,16.4
2009,8,11,,16.95
2009,8,12,,17.25
2009,8,13,,16.3
2009,8,14,,16.45
2009,8,15,,17.95
2009,8,16,,18.3
2009,8,17,,19.15
2009,8,18,,19.7
2009,8,19,,18.4
2009,8,20,,19.2
2009,8,21,,19.799999999999997
2009,8,22,,17.6
2009,8,23,,18.85
2009,8,24,,16.7
2009,8,25,,16.5
2009,8,26,,17.35
2009,8,27,,16.45
2009,8,28,,15.45
2009,8,29,,15.5
2009,8,30,,14.75
2009,8,31,,12.95
2009,9,1,,13.15
2009,9,2,,16.85
2009,9,3,,17.75
2009,9,4,,16.85
2009,9,5,,17.2
2009,9,6,,15.85
2009,9,7,,15.9
2009,9,8,,15.4
2009,9,9,,16.55
2009,9,10,,16.9
2009,9,11,,15.55
2009,9,12,,14.6
2009,9,13,,14.35
2009,9,14,,14.5
2009,9,15,,13.6
2009,9,16,,13.55
2009,9,17,,12.649999999999999
2009,9,18,,12.15
2009,9,19,,11.8
2009,9,20,,13.6
2009,9,21,,13.65
2009,9,22,,14.35
2009,9,23,,13.65
2009,9,24,,14.1
2009,9,25,,13.950000000000001
2009,9,26,,14.0
2009,9,27,,12.65
2009,9,28,,14.899999999999999
2009,9,29,,14.350000000000001
2009,9,30,,13.899999999999999
2009,10,1,,14.350000000000001
2009,10,2,,15.7
2009,10,3,,16.15
2009,10,4,,15.85
2009,10,5,,14.85
2009,10,6,,12.9
2009,10,7,,11.2
2009,10,8,,11.8
2009,10,9,,13.450000000000001
2009,10,10,,12.149999999999999
2009,10,11,,10.649999999999999
2009,10,12,,10.85
2009,10,13,,8.55
2009,10,14,,8.8
2009,10,15,,9.35
2009,10,16,,9.15
2009,10,17,,10.25
2009,10,18,,10.05
2009,10,19,,11.2
2009,10,20,,9.75
2009,10,21,,9.6
2009,10,22,,11.2
2009,10,23,,10.85
2009,10,24,,10.1
2009,10,25,,10.65
2009,10,26,,9.1
2009,10,27,,9.05
2009,10,28,,10.7
2009,10,29,,9.95
2009,10,30,,9.399999999999999
2009,10,31,,10.25
2009,11,1,,9.85
2009,11,2,,9.3
2009,11,3,,10.850000000000001
2009,11,4,,10.85
2009,11,5,,9.6
2009,11,6,,9.55
2009,11,7,,9.600000000000001
2009,11,8,,7.949999999999999
2009,11,9,,8.35
2009,11,10,,8.25
2009,11,11,,6.0
2009,11,12,,8.399999999999999
2009,11,13,,8.65
2009,11,14,,6.6
2009,11,15,,4.8500000000000005
2009,11,16,,2.8
2009,11,17,,4.95
2009,11,18,,5.65
2009,11,19,,5.55
2009,11,20,,5.8
2009,11,21,,4.0
2009,11,22,,5.05
2009,11,23,,5.3500000000000005
2009,11,24,,5.05
2009,11,25,,6.4
2009,11,26,,5.1
2009,11,27,,4.8
2009,11,28,,3.9000000000000004
2009,11,29,,4.2
2009,11,30,,3.45
2009,12,1,,3.05
2009,12,2,,2.5
2009,12,3,,1.2999999999999998
2009,12,4,,3.1
2009,12,5,,2.85
2009,12,6,,2.45
2009,12,7,,3.1
2009,12,8,,4.2
2009,12,9,,5.1
2009,12,10,,3.9
2009,12,11,,3.4000000000000004
2009,12,12,,2.75
2009,12,13,,1.1
2009,12,14,,3.3499999999999996
2009,12,15,,5.05
2009,12,16,,5.75
2009,12,17,,3.7
2009,12,18,,2.75
2009,12,19,,2.3
2009,12,20,,2.8000000000000003
2009,12,21,,4.800000000000001
2009,12,22,,6.75
2009,12,23,,6.7
2009,12,24,,6.15
2009,12,25,,5.5
2009,12,26,,5.4
2009,12,27,,4.75
2009,12,28,,4.85
2009,12,29,,5.7
2009,12,30,,4.45
2009,12,31,,6.1
2010,1,1,,-0.04999999999999982
2010,1,2,,0.45000000000000007
2010,1,3,,-1.4000000000000001
2010,1,4,,-2.1
2010,1,5,,-1.6
2010,1,6,,-3.4
2010,1,7,,-4.05
2010,1,8,,-4.550000000000001
2010,1,9,,-2.3000000000000003
2010,1,10,,-1.25
2010,1,11,,-1.15
2010,1,12,,-0.15000000000000002
2010,1,13,,-0.25
2010,1,14,,1.2000000000000002
2010,1,15,,0.4999999999999999
2010,1,16,,2.55
2010,1,17,,5.1
2010,1,18,,3.6999999999999997
2010,1,19,,3.05
2010,1,20,,1.6
2010,1,21,,2.85
2010,1,22,,2.65
2010,1,23,,3.6
2010,1,24,,3.0500000000000003
2010,1,25,,1.45
2010,1,26,,-2.3000000000000003
2010,1,27,,-0.8500000000000001
2010,1,28,,3.25
2010,1,29,,2.45
2010,1,30,,1.0
2010,1,31,,0.95
2010,2,1,,1.6
2010,2,2,,3.5
2010,2,3,,5.0
2010,2,4,,7.1
2010,2,5,,6.15
2010,2,6,,2.9000000000000004
2010,2,7,,3.0
2010,2,8,,-0.20000000000000018
2010,2,9,,-2.25
2010,2,10,,-1.9000000000000001
2010,2,11,,-1.9000000000000001
2010,2,12,,-1.35
2010,2,13,,-1.6
2010,2,14,,-0.7999999999999998
2010,2,15,,-2.1
2010,2,16,,0.30000000000000004
2010,2,17,,-1.4
2010,2,18,,3.1
2010,2,19,,2.9
2010,2,20,,2.4
2010,2,21,,2.8000000000000003
2010,2,22,,6.199999999999999
2010,2,23,,4.300000000000001
2010,2,24,,7.9
2010,2,25,,9.350000000000001
2010,2,26,,7.35
2010,2,27,,7.6499999999999995
2010,2,28,,7.35
2010,3,1,,3.55
2010,3,2,,3.45
2010,3,3,,2.5
2010,3,4,,2.7
2010,3,5,,2.0
2010,3,6,,2.0
2010,3,7,,-0.10000000000000009
2010,3,8,,0.34999999999999987
2010,3,9,,0.8499999999999999
2010,3,10,,2.6999999999999997
2010,3,11,,1.95
2010,3,12,,3.1
2010,3,13,,4.75
2010,3,14,,6.5
2010,3,15,,7.35
2010,3,16,,6.85
2010,3,17,,8.05
2010,3,18,,10.9
2010,3,19,,14.05
2010,3,20,,13.75
2010,3,21,,9.8
2010,3,22,,8.15
2010,3,23,,11.0
2010,3,24,,12.55
2010,3,25,,14.0
2010,3,26,,10.899999999999999
2010,3,27,,9.35
2010,3,28,,8.95
2010,3,29,,11.8
2010,3,30,,9.7
2010,3,31,,5.1499999999999995
2010,4,1,,5.8999999999999995
2010,4,2,,6.699999999999999
2010,4,3,,8.2
2010,4,4,,6.65
2010,4,5,,7.550000000000001
2010,4,6,,10.649999999999999
2010,4,7,,11.45
2010,4,8,,7.95
2010,4,9,,9.15
2010,4,10,,8.350000000000001
2010,4,11,,6.699999999999999
2010,4,12,,8.65
2010,4,13,,10.6
2010,4,14,,8.6
2010,4,15,,9.7
2010,4,16,,7.1499999999999995
2010,4,17,,8.05
2010,4,18,,9.6
2010,4,19,,9.0
2010,4,20,,9.15
2010,4,21,,6.6000000000000005
2010,4,22,,6.050000000000001
2010,4,23,,8.45
2010,4,24,,11.5
2010,4,25,,13.350000000000001
2010,4,26,,10.899999999999999
2010,4,27,,11.65
2010,4,28,,14.049999999999999
2010,4,29,,18.8
2010,4,30,,11.75
2010,5,1,,10.3
2010,5,2,,9.65
2010,5,3,,6.949999999999999
2010,5,4,,7.5
2010,5,5,,7.45
2010,5,6,,9.100000000000001
2010,5,7,,8.25
2010,5,8,,7.699999999999999
2010,5,9,,9.85
2010,5,10,,9.05
2010,5,11,,8.15
2010,5,12,,7.0
2010,5,13,,7.35
2010,5,14,,7.6
2010,5,15,,8.799999999999999
2010,5,16,,12.5
2010,5,17,,11.35
2010,5,18,,10.1
2010,5,19,,10.6
2010,5,20,,12.799999999999999
2010,5,21,,14.75
2010,5,22,,13.8
2010,5,23,,17.45
2010,5,24,,18.450000000000003
2010,5,25,,17.15
2010,5,26,,11.399999999999999
2010,5,27,,12.35
2010,5,28,,11.95
2010,5,29,,13.8
2010,5,30,,13.85
2010,5,31,,11.45
2010,6,1,,11.65
2010,6,2,,14.1
2010,6,3,,15.700000000000001
2010,6,4,,18.25
2010,6,5,,19.7
2010,6,6,,16.85
2010,6,7,,15.8
2010,6,8,,17.75
2010,6,9,,17.15
2010,6,10,,17.7
2010,6,11,,15.149999999999999
2010,6,12,,13.649999999999999
2010,6,13,,12.45
2010,6,14,,16.5
2010,6,15,,14.0
2010,6,16,,14.6
2010,6,17,,17.45
2010,6,18,,14.25
2010,6,19,,12.35
2010,6,20,,12.15
2010,6,21,,13.149999999999999
2010,6,22,,15.100000000000001
2010,6,23,,18.2
2010,6,24,,18.45
2010,6,25,,18.35
2010,6,26,,20.65
2010,6,27,,21.55
2010,6,28,,21.05
2010,6,29,,19.049999999999997
2010,6,30,,20.7
2010,7,1,,22.1
2010,7,2,,25.75
2010,7,3,,18.450000000000003
2010,7,4,,18.6
2010,7,5,,18.15
2010,7,6,,16.6
2010,7,7,,18.35
2010,7,8,,21.5
2010,7,9,,24.5
2010,7,10,,22.7
2010,7,11,,22.5
2010,7,12,,19.5
2010,7,13,,20.1
2010,7,14,,19.8
2010,7,15,,18.75
2010,7,16,,18.45
2010,7,17,,15.8
2010,7,18,,16.8
2010,7,19,,19.75
2010,7,20,,22.35
2010,7,21,,19.65
2010,7,22,,18.1
2010,7,23,,16.6
2010,7,24,,16.5
2010,7,25,,16.85
2010,7,26,,18.4
2010,7,27,,19.15
2010,7,28,,19.35
2010,7,29,,17.25
2010,7,30,,18.15
2010,7,31,,19.35
2010,8,1,,17.55
2010,8,2,,17.15
2010,8,3,,16.2
2010,8,4,,17.35
2010,8,5,,16.0
2010,8,6,,18.1
2010,8,7,,18.4
2010,8,8,,15.9
2010,8,9,,16.95
2010,8,10,,16.95
2010,8,11,,17.05
2010,8,12,,16.5
2010,8,13,,14.8
2010,8,14,,14.600000000000001
2010,8,15,,16.7
2010,8,16,,15.75
2010,8,17,,15.2
2010,8,18,,15.85
2010,8,19,,17.200000000000003
2010,8,20,,20.9
2010,8,21,,21.25
2010,8,22,,19.700000000000003
2010,8,23,,18.25
2010,8,24,,15.95
2010,8,25,,15.8
2010,8,26,,19.4
2010,8,27,,15.600000000000001
2010,8,28,,14.25
2010,8,29,,14.5
2010,8,30,,13.8
2010,8,31,,13.2
2010,9,1,,12.850000000000001
2010,9,2,,14.350000000000001
2010,9,3,,13.8
2010,9,4,,13.9
2010,9,5,,14.95
2010,9,6,,14.95
2010,9,7,,17.45
2010,9,8,,14.850000000000001
2010,9,9,,17.25
2010,9,10,,15.95
2010,9,11,,17.85
2010,9,12,,15.35
2010,9,13,,14.85
2010,9,14,,16.05
2010,9,15,,13.9
2010,9,16,,13.8
2010,9,17,,11.45
2010,9,18,,12.0
2010,9,19,,13.399999999999999
2010,9,20,,15.4
2010,9,21,,15.600000000000001
2010,9,22,,15.6
2010,9,23,,16.0
2010,9,24,,14.8
2010,9,25,,11.8
2010,9,26,,11.2
2010,9,27,,9.649999999999999
2010,9,28,,13.3
2010,9,29,,14.7
2010,9,30,,13.25
2010,10,1,,12.95
2010,10,2,,15.75
2010,10,3,,18.75
2010,10,4,,18.05
2010,10,5,,15.399999999999999
2010,10,6,,15.15
2010,10,7,,12.45
2010,10,8,,15.6
2010,10,9,,15.35
2010,10,10,,13.8
2010,10,11,,10.35
2010,10,12,,8.7
2010,10,13,,8.1
2010,10,14,,9.25
2010,10,15,,11.0
2010,10,16,,8.15
2010,10,17,,6.25
2010,10,18,,6.7
2010,10,19,,9.25
2010,10,20,,5.8
2010,10,21,,5.7
2010,10,22,,8.2
2010,10,23,,6.65
2010,10,24,,7.2
2010,10,25,,6.05
2010,10,26,,4.65
2010,10,27,,8.3
2010,10,28,,10.85
2010,10,29,,10.95
2010,10,30,,11.2
2010,10,31,,10.35
2010,11,1,,8.3
2010,11,2,,9.8
2010,11,3,,13.850000000000001
2010,11,4,,15.05
2010,11,5,,13.75
2010,11,6,,9.600000000000001
2010,11,7,,6.9
2010,11,8,,4.4
2010,11,9,,6.199999999999999
2010,11,10,,5.75
2010,11,11,,6.3
2010,11,12,,11.899999999999999
2010,11,13,,11.55
2010,11,14,,9.45
2010,11,15,,7.300000000000001
2010,11,16,,5.050000000000001
2010,11,17,,3.9499999999999997
2010,11,18,,5.8
2010,11,19,,7.15
2010,11,20,,5.4
2010,11,21,,2.8499999999999996
2010,11,22,,2.5
2010,11,23,,3.1500000000000004
2010,11,24,,3.7
2010,11,25,,1.5
2010,11,26,,0.45000000000000007
2010,11,27,,-0.3999999999999999
2010,11,28,,-1.35
2010,11,29,,-2.75
2010,11,30,,-1.85
2010,12,1,,-4.55
2010,12,2,,-5.75
2010,12,3,,-6.4
2010,12,4,,-2.95
2010,12,5,,1.85
2010,12,6,,0.1499999999999999
2010,12,7,,-1.9500000000000002
2010,12,8,,0.55
2010,12,9,,2.1
2010,12,10,,4.1
2010,12,11,,6.199999999999999
2010,12,12,,3.75
2010,12,13,,-1.0499999999999998
2010,12,14,,4.25
2010,12,15,,-0.6499999999999999
2010,12,16,,2.8
2010,12,17,,-2.7
2010,12,18,,-3.9
2010,12,19,,-2.25
2010,12,20,,-3.5
2010,12,21,,-0.4999999999999999
2010,12,22,,0.2
2010,12,23,,0.30000000000000004
2010,12,24,,-0.19999999999999996
2010,12,25,,-1.0
2010,12,26,,0.3500000000000001
2010,12,27,,-0.8
2010,12,28,,0.20000000000000007
2010,12,29,,2.2
2010,12,30,,1.15
2010,12,31,,1.65
2011,1,1,,3.9
2011,1,2,,2.6500000000000004
2011,1,3,,1.75
2011,1,4,,1.05
2011,1,5,,1.8499999999999999
2011,1,6,,7.65
2011,1,7,,7.550000000000001
2011,1,8,,8.3
2011,1,9,,4.35
2011,1,10,,0.9
2011,1,11,,3.85
2011,1,12,,6.9
2011,1,13,,10.7
2011,1,14,,10.5
2011,1,15,,9.0
2011,1,16,,10.100000000000001
2011,1,17,,7.800000000000001
2011,1,18,,5.1
2011,1,19,,3.2
2011,1,20,,2.65
2011,1,21,,1.4
2011,1,22,,3.3000000000000003
2011,1,23,,4.4
2011,1,24,,5.2
2011,1,25,,3.85
2011,1,26,,3.9000000000000004
2011,1,27,,0.5
2011,1,28,,-1.0
2011,1,29,,-0.8499999999999999
2011,1,30,,-2.1
2011,1,31,,-2.25
2011,2,1,,-0.8
2011,2,2,,3.45
2011,2,3,,6.8
2011,2,4,,7.699999999999999
2011,2,5,,10.3
2011,2,6,,9.4
2011,2,7,,8.0
2011,2,8,,6.4
2011,2,9,,3.55
2011,2,10,,7.8
2011,2,11,,11.3
2011,2,12,,7.6000000000000005
2011,2,13,,4.75
2011,2,14,,6.050000000000001
2011,2,15,,4.3
2011,2,16,,4.75
2011,2,17,,5.9
2011,2,18,,2.0500000000000003
2011,2,19,,2.7
2011,2,20,,3.6
2011,2,21,,2.9
2011,2,22,,1.65
2011,2,23,,0.7
2011,2,24,,7.0
2011,2,25,,9.35
2011,2,26,,7.449999999999999
2011,2,27,,5.800000000000001
2011,2,28,,3.25
2011,3,1,,4.35
2011,3,2,,4.3
2011,3,3,,2.8499999999999996
2011,3,4,,3.0
2011,3,5,,1.95
2011,3,6,,3.15
2011,3,7,,3.0
2011,3,8,,4.45
2011,3,9,,7.3
2011,3,10,,6.65
2011,3,11,,8.25
2011,3,12,,8.4
2011,3,13,,10.45
2011,3,14,,9.05
2011,3,15,,10.350000000000001
2011,3,16,,9.95
2011,3,17,,5.25
2011,3,18,,6.5
2011,3,19,,6.6499999999999995
2011,3,20,,5.0
2011,3,21,,6.8500000000000005
2011,3,22,,7.449999999999999
2011,3,23,,8.85
2011,3,24,,9.799999999999999
2011,3,25,,10.5
2011,3,26,,8.200000000000001
2011,3,27,,10.100000000000001
2011,3,28,,7.65
2011,3,29,,8.399999999999999
2011,3,30,,10.850000000000001
2011,3,31,,11.65
2011,4,1,,14.25
2011,4,2,,15.9
2011,4,3,,11.65
2011,4,4,,9.8
2011,4,5,,8.75
2011,4,6,,16.1
2011,4,7,,14.149999999999999
2011,4,8,,11.75
2011,4,9,,10.95
2011,4,10,,13.75
2011,4,11,,13.850000000000001
2011,4,12,,8.35
2011,4,13,,8.4
2011,4,14,,9.55
2011,4,15,,11.85
2011,4,16,,10.149999999999999
2011,4,17,,10.25
2011,4,18,,12.35
2011,4,19,,16.35
2011,4,20,,16.35
2011,4,21,,16.05
2011,4,22,,18.3
2011,4,23,,17.5
2011,4,24,,18.0
2011,4,25,,14.350000000000001
2011,4,26,,12.3
2011,4,27,,10.8
2011,4,28,,11.100000000000001
2011,4,29,,14.100000000000001
2011,4,30,,16.549999999999997
2011,5,1,,16.0
2011,5,2,,12.85
2011,5,3,,10.0
2011,5,4,,9.1
2011,5,5,,11.899999999999999
2011,5,6,,16.0
2011,5,7,,18.8
2011,5,8,,17.85
2011,5,9,,16.6
2011,5,10,,16.15
2011,5,11,,13.6
2011,5,12,,13.4
2011,5,13,,13.05
2011,5,14,,11.6
2011,5,15,,11.9
2011,5,16,,12.350000000000001
2011,5,17,,14.05
2011,5,18,,14.149999999999999
2011,5,19,,13.75
2011,5,20,,13.95
2011,5,21,,14.0
2011,5,22,,14.45
2011,5,23,,15.7
2011,5,24,,13.4
2011,5,25,,14.75
2011,5,26,,13.45
2011,5,27,,12.45
2011,5,28,,11.95
2011,5,29,,16.0
2011,5,30,,18.25
2011,5,31,,12.75
2011,6,1,,12.9
2011,6,2,,14.9
2011,6,3,,20.05
2011,6,4,,22.799999999999997
2011,6,5,,20.0
2011,6,6,,14.549999999999999
2011,6,7,,14.3
2011,6,8,,13.600000000000001
2011,6,9,,13.55
2011,6,10,,12.85
2011,6,11,,12.05
2011,6,12,,12.5
2011,6,13,,16.55
2011,6,14,,17.2
2011,6,15,,17.7
2011,6,16,,14.65
2011,6,17,,13.0
2011,6,18,,14.299999999999999
2011,6,19,,13.8
2011,6,20,,13.0
2011,6,21,,17.9
